county,case,,,,
Dade,20415,,,,
Broward,1348,,,,
Palm Beach,616,,,,
Orange,458,,,,
Hillsborough,362,,,,
Duval,239,,,,
Lee,235,,,,
Pinellas,233,,,,
Collier,158,,,,
Osceola,140,,,,
Seminole,128,,,,
Sarasota,99,,,,
Escambia,96,,,,
Volusia,93,,,,
Alachua,92,,,,
Polk,91,,,,
St. Johns,90,,,,
Lake,71,,,,
Manatee,70,,,,
Sumter,57,,,,
Clay,53,,,,
Pasco,51,,,,
Brevard,47,,,,
St. Lucie,47,,,,
Santa Rosa,46,,,,
Okaloosa,44,,,,
Indian River,35,,,,
Martin,33,,,,
Leon,32,,,,
Marion,30,,,,
Monroe,30,,,,
Hernando,28,,,,
Charlotte,26,,,,
Flagler,24,,,,
Citrus,23,,,,
Highlands,21,,,,
Walton,18,,,,
Bay,13,,,,
Putnam,13,,,,
Nassau,11,,,,
Baker,9,,,,
DeSoto,7,,,,
Suwannee,6,,,,
Hendry,4,,,,
Jackson,4,,,,
Bradford,3,,,,
Columbia,3,,,,
Glades,3,,,,
Levy,2,,,,
Madison,2,,,,
Wakulla,2,,,,
Calhoun,1,,,,
Gadsden,1,,,,
Gulf,1,,,,
Hardee,1,,,,
Holmes,1,,,,
Okeechobee,1,,,,
Union,1,,,,
Washington,1,,,,
